MSA_Short_Name,Population,Hospitals,Beds,Confirmed,Deaths,Growth_Classification,Exp_Daily_Growth,Linear_Daily_Growth,New_Cases_As_Text,CPB_April_2,CPB_April_3,CPB_April_4,CPB_April_5,CPB_April_6,CPB_April_7,CPB_April_8,CPB_April_9
Austin,2227083,60,6241,564,5,Rebounding,NaN,14.4444444444444,22    8   23   28   50   22   25   10   65   14  122   14   83,0.0301233776638359,0.0370132991507771,0.0379746835443038,0.053837526037494,0.0515942957859317,0.0568819099503285,0.0696825651159892,0.0843169719952287
"Toledo, OH",641816,17,3849,305,7,Exponential,0.19018387731683,NaN,4   3  11  15  17  22  29  22  21  40  40  31  42,0.0319563522992985,0.0363730839179008,0.0459859703819174,0.0535203949077682,0.0576773187840998,0.0641725123408678,0.073527171364415,0.0839293288793457
"Clarksville, TN-KY",307820,6,1158,70,1,Exponential,0.280947035706291,NaN,1   3   0   0   3   2   6   0   7   8  10   4  22,0.0129533678756477,0.0181347150259067,0.0224525043177893,0.0310880829015544,0.0345423143350604,0.0509499136442142,0.0662057793604839,0.0827787319343104
"Gainesville, GA",204441,2,634,84,0,Decreasing,NaN,-2.44444444444444,1   4   5   2   3   7   1   2  32   3   3   7   5,0.0394321766561514,0.0883280757097792,0.0867507886435331,0.083596214511041,0.0914826498422713,0.0946372239747634,0.0837714686295128,0.0821941815632667
"Saginaw, MI",190539,8,1122,103,0,Decreasing,NaN,-1.66666666666667,0   6   1   1   4   5   5  12  15  20  11   8  13,0.0303030303030303,0.0436720142602496,0.0561497326203209,0.0650623885918004,0.071301247771836,0.0793226381461676,0.0814022578728461,0.0819964349376114
"Utica-Rome, NY",289990,8,1124,98,4,Tapering,NaN,1.11111111111111,1   6   1   5   2  10   4  10   0  16  13  10  13,0.0346975088967972,0.0338078291814947,0.0427046263345196,0.0533807829181495,0.0578291814946619,0.0676156583629893,0.0713720838275999,0.0814551206010281
Tampa,3194831,54,11377,969,14,Exponential,0.159550711831625,NaN,23   21   25   53   43   53   49   59   98   10  231  119   73,0.0286543025402127,0.0352465500571328,0.0342796870879845,0.0523863936011251,0.0581875714160148,0.0608244704227828,0.069755176212081,0.0812056394354085
"Fairbanks, AK",96849,3,371,46,0,Decreasing,NaN,-0.111111111111111,0  0  3  1 -1  9  4  5  2  5  5  2  4,0.0566037735849057,0.0619946091644205,0.0754716981132075,0.0808625336927224,0.0835579514824798,0.0970350404312668,0.0820604971548368,0.0802635519616652
"St. George, UT",177556,2,338,25,1,Tapering,NaN,0.555555555555555,5  0  0  3  1  4 -5  7 -1  0  4  5  2,0.0443786982248521,0.0266272189349112,0.0266272189349112,0.0384615384615385,0.0443786982248521,0.0473372781065089,0.0496383957922419,0.0802103879026956
Vallejo,447643,7,749,73,1,Tapering,NaN,1,1   7   3   7   3   0   0   0   9   6   5   7  12,0.0280373831775701,0.0387182910547397,0.0373831775700935,0.0400534045393858,0.0400534045393858,0.0520694259012016,0.0654205607476635,0.0801068090787717
"Spartanburg, SC",319785,6,943,72,0,Exponential,0.181089185847467,NaN,1   1   5   0   7   5   4   5   7   8   5  10  12,0.0296924708377519,0.0360551431601273,0.0434782608695652,0.0434782608695652,0.0540827147401909,0.0593849416755037,0.0679092485482689,0.079997836558494
Dallas,7573136,177,22120,2126,39,Exponential,0.127611189585159,NaN,35   47  122  114  160  135   93  167  191  148  223  198  242,0.0394665461121157,0.0465189873417722,0.0510849909584087,0.0556509945750452,0.0594484629294756,0.0631555153707052,0.0693174226518105,0.078943212979652
"Bloomington, IN",169230,3,445,58,0,Decreasing,NaN,-0.111111111111111,0   3   3   2   3  10   8   5   5   4   3   5   5,0.0764044943820225,0.0876404494382022,0.0898876404494382,0.0898876404494382,0.0966292134831461,0.101123595505618,0.0878901373283396,0.0789013732833957
Chapel Hill,644367,10,2687,283,1,Rebounding,NaN,6.33333333333333,0  30  14  25  12  21   9  -4  25  11  31  21  37,0.0398213621138817,0.0491254186825456,0.042054335690361,0.0483810941570525,0.0468924451060662,0.0561965016747302,0.0641359632799901,0.0788983997022702
"Lewiston, ID-WA",62990,2,170,14,2,Decreasing,NaN,0,0  0  1  0  3  0  0  0  5  0  5 -1  1,0.0235294117647059,0.0529411764705882,0.0529411764705882,0.0764705882352941,0.0705882352941176,0.0588235294117647,0.0686274509803921,0.0784313725490196
"Salisbury, MD-DE",415726,8,1026,144,4,Decreasing,NaN,-1.44444444444444,8   5   3   2  10  23   7  16   8  17   5  12  11,0.0721247563352826,0.0721247563352826,0.0838206627680312,0.0857699805068226,0.0955165692007797,0.0964912280701754,0.0803552090101798,0.0784058912713883
"Cleveland, TN",124942,3,373,24,0,Exponential,0.244665954576957,NaN,-1  1  1  2  1 -1  3  0  2  4  5  4  1,0.0160857908847185,0.0241286863270777,0.032171581769437,0.0428954423592493,0.0482573726541555,0.0482573726541555,0.0666809193293484,0.078232279151719
"Greenvile, SC",920477,19,2755,274,5,Decreasing,NaN,0,17   9  19   0   4  14  21  21  27  32  36  29  15,0.0381125226860254,0.0417422867513612,0.0500907441016334,0.0562613430127042,0.0667876588021779,0.0707803992740472,0.0753781004234725,0.0774349667271627
Tucson,1047279,21,3542,326,11,Rebounding,NaN,5,7  18   7  26  27  18  33  34  15  15  20  43  46,0.0479954827780915,0.0502540937323546,0.0494071146245059,0.0530773574251835,0.0578769057029927,0.0632411067193676,0.0712403538490495,0.0764163372859025
"Muskegon, MI",173566,3,413,31,2,Rebounding,NaN,0.888888888888889,1  2  0  0  3  1  6  5  0  0  8  4  1,0.0435835351089588,0.0411622276029056,0.036319612590799,0.0556900726392252,0.0653753026634383,0.0605326876513317,0.0729082593489373,0.0753295668549906
"Kokomo, IN",82544,3,254,27,2,Decreasing,NaN,-0.111111111111111,0  0  0  0  1  2  3  2  2  4  4  1  2,0.031496062992126,0.0393700787401575,0.0551181102362205,0.0708661417322835,0.0748031496062992,0.078740157480315,0.07917760279965,0.0752405949256343
Phoenix,4948203,80,11633,1260,28,Decreasing,NaN,-1.77777777777778,59   65   53   60  101   60  101  158   96   86   94   96  134,0.056477262958824,0.0596578698530044,0.061463079171323,0.0649875354594688,0.0680821800051577,0.0709189375053726,0.0747394863272109,0.0748827569080298
"Harrisburg-Carlisle, PA",577941,13,2155,158,4,Exponential,0.178177727912679,NaN,1   4   6   5   6  12  12   3  21  16  13  17  30,0.022737819025522,0.0320185614849188,0.0375870069605568,0.0408352668213457,0.0464037122969838,0.0575406032482599,0.0650357684502103,0.0748585781210293
"Muncie, IN",114135,3,411,33,1,Exponential,0.163617807002222,NaN,0  2  3  0  1  0  6  1  3  4  3  5  3,0.0316301703163017,0.0389294403892944,0.0437956204379562,0.0437956204379562,0.0559610705596107,0.0608272506082725,0.0739644467909327,0.0746525820571722
Louisville,1265108,29,5918,473,17,Tapering,NaN,2.33333333333333,9    5    5    6    9   79   11   34  105    8   52   16  100,0.0266982088543427,0.042919905373437,0.0434268333896587,0.0513687056437986,0.0530584656978709,0.068435282189929,0.0653373887574631,0.0741241410386392
"Dalton, GA",144724,2,324,25,1,Rebounding,NaN,0.666666666666667,0  0  2  1  1  2  3 -1  4  1  6  1  3,0.0246913580246914,0.037037037037037,0.0401234567901235,0.0524691358024691,0.0524691358024691,0.058641975308642,0.0668724279835391,0.0740740740740741
