MSA_Short_Name,Population,Hospitals,Beds,Confirmed,Deaths,Growth_Classification,Exp_Daily_Growth,Linear_Daily_Growth,New_Cases_As_Text,CPB_April_2,CPB_April_3,CPB_April_4,CPB_April_5,CPB_April_6,CPB_April_7,CPB_April_8,CPB_April_9
"Gettysburg, PA",103009,1,76,21,0,Exponential,0.235930917022447,NaN,1  0  0  1  1  0  0  0  1  3  6  1  2,0.0394736842105263,0.0394736842105263,0.0789473684210526,0.157894736842105,0.157894736842105,0.171052631578947,0.236244069177255,0.316816182430143
"Twin Falls, ID",111290,3,278,44,1,Exponential,0.4,NaN,0   0   0   0   2  -1   0   1   4   2  29   2   4,0.00719424460431655,0.0215827338129496,0.0287769784172662,0.133093525179856,0.140287769784173,0.147482014388489,0.214388489208633,0.303021582733813
"Trenton-Princeton, NJ",367430,12,2212,586,13,Exponential,0.21601996533054,NaN,10    8   24   29   20   37   34   47   19   65   53   98  102,0.0944846292947559,0.0985533453887884,0.124321880650995,0.137432188065099,0.168625678119349,0.205696202531646,0.246196970923913,0.300416306448615
Chicago,9458539,127,28234,10159,235,Rebounding,NaN,103.666666666667,170   317   319    21  1135   458  1070   438   953   965   698   828  1763,0.139123043139477,0.16685556421336,0.189806616136573,0.203230148048452,0.231812708082454,0.254055394205568,0.284007461453094,0.295955231281434
"Shreveport-Bossier City, LA",394706,20,3117,795,15,Rebounding,NaN,30.1111111111111,29    7   68   32   32   65   45    7   28   77   53   53  277,0.0914340712223292,0.0911132499197947,0.113570741097209,0.108758421559192,0.115495668912416,0.194096888033365,0.233522261433715,0.289024346772181
"Lancaster, PA",545724,5,1191,291,5,Tapering,NaN,4.88888888888889,-1   5   2   9  12  12  22  30  26  34  46  29  59,0.0764063811922754,0.0990764063811923,0.123425692695214,0.160369437447523,0.177162048698573,0.216624685138539,0.252262337904655,0.283608545573281
Miami,6166488,86,22039,6609,97,Exponential,0.141465624219189,NaN,114   120   123   416   282   538   254   844   686   108  1103   716   789,0.122101728753573,0.148055719406507,0.147511230092109,0.191977857434548,0.205590090294478,0.22859476382776,0.246605849197541,0.283504486789352
"Grand Island, NE",75553,4,281,42,1,Exponential,0.4,NaN,0   0   0   0   0   3   0   3   2   7   2   9  16,0.0213523131672598,0.0284697508896797,0.0533807829181495,0.0604982206405694,0.0925266903914591,0.149466192170818,0.198576512455516,0.282277580071174
"Kennewick-Richland, WA",299612,5,553,197,14,Decreasing,NaN,-1.44444444444444,4   0   5   7  28   0  18  67 -17  19  30  10  16,0.233273056057866,0.195298372513562,0.229656419529837,0.274864376130199,0.280289330922242,0.258589511754069,0.287120755475186,0.280490255173799
"Lebanon, PA",141793,3,484,87,0,Exponential,0.32767049909946,NaN,0   0   0   1   8   3   4   8   1   8   9   9  33,0.0495867768595041,0.0516528925619835,0.0681818181818182,0.0867768595041322,0.103305785123967,0.15495867768595,0.207659779796804,0.277594378127219
Denver,2967239,42,6088,2197,50,Rebounding,NaN,26.3333333333333,55    8  125  178    0  149  305    0  430    0  198  216  253,0.134691195795007,0.196287779237845,0.194973718791064,0.206964520367937,0.213206307490145,0.254763469119579,0.275459921156373,0.274857643451599
DC,6280487,60,11562,3432,54,Exponential,0.15373060846979,NaN,60   68  140  154  227  214  217  219  298  332  302  408  453,0.112350804359107,0.132935478290953,0.155768898114513,0.169780314824425,0.191748832381941,0.211295623594534,0.23841925689918,0.272298537940641
"Boise City, ID",749202,14,1903,458,4,Tapering,NaN,7.33333333333333,4    8    5   23   25   23   16   41   91    6  131    9   64,0.0761954808197583,0.121912769311613,0.120861797162375,0.187073042564372,0.179716237519706,0.200210194429848,0.231564196882116,0.270450166403924
Seattle,3979845,52,9478,5021,253,Rebounding,NaN,43,188  107  226  393  179  501  167  158  390   75  519  204  287,0.202468875290146,0.223781388478582,0.220405148765562,0.251318843637898,0.231377927832876,0.242772736864317,0.234507983400155,0.266019554055005
"Farmington, NM",123958,3,267,72,0,Decreasing,NaN,0,3   4   1   0   6   4   4   0  10  15   5  20   0,0.0823970037453183,0.108614232209738,0.149812734082397,0.164794007490637,0.239700374531835,0.217228464419476,0.233458177278402,0.249687890137328
"Dover, DE",180786,2,288,68,2,Exponential,0.189207115002721,NaN,1   4   4   3   4   4   0   2   7   7   2  11  14,0.0763888888888889,0.0972222222222222,0.107638888888889,0.100694444444444,0.128472222222222,0.163194444444444,0.193979457708976,0.247105980004759
Hartford,1204877,16,3677,917,40,Exponential,0.160832314982944,NaN,11   30   43   31   58   46   61   76   75   91   84  169   68,0.0968180581996193,0.11422355180854,0.130813162904542,0.141963557247756,0.179494152841991,0.182213761218385,0.209813226227729,0.239784208712929
"Monroe, LA",200261,17,1277,204,1,Exponential,0.316074012952492,NaN,7  -2   6  11   7  12   9   3  13  25  18  27  66,0.0415035238841034,0.0462020360219264,0.06734534064213,0.076742364917776,0.0892717306186374,0.135473766640564,0.17656938029938,0.235973660723611
"Lansing-East Lansing, MI",550391,10,1300,297,4,Decreasing,NaN,-1.88888888888889,1   7   4   7  10  11  15  45  29  48  33  41  31,0.0769230769230769,0.0984615384615385,0.13,0.152307692307692,0.178461538461538,0.194615384615385,0.21017094017094,0.221196581196581
"Ithaca, NY",102180,1,212,93,0,Decreasing,NaN,-0.333333333333333,0   1   2   5   9  16   8  14   3   3   4   7   6,0.259433962264151,0.273584905660377,0.283018867924528,0.292452830188679,0.30188679245283,0.287735849056604,0.235849056603774,0.220125786163522
Atlanta,6020364,80,13225,3584,107,Exponential,0.118126618518844,NaN,109  128   77  154  301  273  160  163  514  210  284  484  313,0.103213610586011,0.133837429111531,0.140037807183365,0.155689981096408,0.180642722117202,0.181550094517958,0.192919909321099,0.216615680301304
"Provo-Orem, UT",648252,11,1366,186,0,Rebounding,NaN,10.6666666666667,5   2   5   6   2   4  20   7  13   0  35  45  36,0.0373352855051245,0.0431918008784773,0.0417276720351391,0.0636896046852123,0.0922401171303075,0.117130307467057,0.158125915080527,0.195217179111762
Las Vegas,2266715,43,6237,1418,41,Tapering,NaN,2.66666666666667,0   86   37  101   93    0   85  225  116   92  164  154  139,0.100529100529101,0.119127785794452,0.120089786756453,0.14045214045214,0.148949815616482,0.156325156325156,0.181604403826626,0.193682860349527
Buffalo,1127983,21,3719,909,22,Rebounding,NaN,11.6666666666667,31   28   10   86   48   83  101   32   56   88   80  120   81,0.112664694810433,0.11938693197096,0.135520301156225,0.1543425652057,0.163484807744017,0.172358160795913,0.18150040333423,0.188939679125213
"Lafayette, LA",489207,30,2126,441,15,Decreasing,NaN,-9.55555555555556,5    4    8   14   29   14    3   49   99   73  143   64  -72,0.0592662276575729,0.103480714957667,0.135936030103481,0.199435559736595,0.222953904045155,0.175446848541863,0.181038988188565,0.187310546670848
"Bloomington, IL",171517,2,277,40,2,Rebounding,NaN,2,1   0   0   1   2   0   4   3   2  -1  14   3   5,0.0397111913357401,0.0433212996389892,0.0397111913357401,0.0902527075812274,0.0974729241877256,0.108303249097473,0.149217809867629,0.182912154031288
"Auburn-Opelika, AL",164542,1,314,102,3,Decreasing,NaN,-0.111111111111111,3   7  14   7   1   8   3  12   4   6  10   8   3,0.17515923566879,0.178343949044586,0.17515923566879,0.162420382165605,0.165605095541401,0.171974522292994,0.168082094833687,0.179759377211607
"Jackson, MI",158510,2,389,81,3,Decreasing,NaN,-0.777777777777777,0   5   6   5  -1   4   4  13  10   9  11   2  12,0.0925449871465296,0.118251928020566,0.12853470437018,0.141388174807198,0.133676092544987,0.167095115681234,0.174235932590688,0.179377320765496
"Reading, PA",421164,6,1247,235,2,Tapering,NaN,0.111111111111111,1   2   4  16  29   0   3  14  28  41  17  33  34,0.0553327987169206,0.0769847634322374,0.108259823576584,0.118684843624699,0.132317562149158,0.136327185244587,0.158959280049898,0.179274703733405
Salt Lake City,1232696,25,3425,667,4,Rebounding,NaN,20.1111111111111,28   15   28   28   41   61   46   39   39    0   81   68  110,0.0835036496350365,0.0867153284671533,0.0823357664233577,0.0978102189781022,0.109489051094891,0.12963503649635,0.148775344687753,0.178167072181671
Providence,1624578,30,5769,1166,8,Tapering,NaN,7.44444444444445,27    6   36   54   39   50  134   55  110  162  229   81   84,0.0695094470445485,0.0838966892009014,0.110937770844167,0.144392442364361,0.14907262957185,0.15687294158433,0.173552127270276,0.176961152520175
"Naples-Marco Island, FL",384902,6,1051,221,2,Tapering,NaN,1.77777777777778,6   2   6  18  16  11   3  24  27   4  28  25  18,0.0818268315889629,0.101807802093245,0.103710751665081,0.124643196955281,0.131303520456708,0.133206470028544,0.14864150544455,0.173379849878423
Baltimore,2800053,34,8745,1494,25,Exponential,0.176801694181825,NaN,19   25   33   80   84  104  131   74  125  168  179  211  157,0.0628930817610063,0.0750142938822184,0.0913664951400801,0.108061749571184,0.123041738136078,0.13138936535163,0.14970174169327,0.170266914554516
"York-Hanover, PA",449058,7,998,144,1,Exponential,0.215359161627538,NaN,0   8   2   1   9   7   6  11  12  13  23  19  23,0.0440881763527054,0.0561122244488978,0.061122244488978,0.0821643286573146,0.100200400801603,0.114228456913828,0.138288295866098,0.170042180773835
Charleston,802122,13,2270,364,1,Exponential,0.202646616664603,NaN,21   6  18   0  50  20  10   8  25  61  64  26  39,0.0585903083700441,0.060352422907489,0.0845814977973568,0.104845814977974,0.116299559471366,0.111453744493392,0.135138047782342,0.169812614090411
"Salem, OR",433903,5,511,198,5,Decreasing,NaN,-2,10   2  11  17  30  12  17  16  21  10  13  16   0,0.225048923679061,0.246575342465753,0.262230919765166,0.26614481409002,0.264187866927593,0.205479452054795,0.193085453359426,0.166992824527071
"Warner Robins, GA",185409,5,403,68,6,Tapering,NaN,0.555555555555555,0   2   3   5   1   3   3   2  13   6  12   8   6,0.0471464019851117,0.0794044665012407,0.0893300248138958,0.11166253101737,0.119106699751861,0.13151364764268,0.148331954783568,0.166528811690102
Rochester,1069644,16,2890,602,15,Tapering,NaN,2.44444444444445,13   31   16   35   25   46   19   36   14  109   77   49   55,0.0764705882352941,0.0768166089965398,0.103806228373702,0.124913494809689,0.129757785467128,0.140138408304498,0.146789696270665,0.163629373317955
"El Centro, CA",181215,2,268,55,1,Rebounding,NaN,0.444444444444445,0  0  3  0  8  4  4  0  8  5  5  9  3,0.0708955223880597,0.100746268656716,0.119402985074627,0.126865671641791,0.16044776119403,0.141791044776119,0.151326699834163,0.162520729684909
"Manchester-Nashua, NH",417025,11,1318,194,2,Tapering,NaN,3.22222222222222,0    3    1   10    1   12   10   16   30   10 -109  163   31,0.0402124430955994,0.0629742033383915,0.0682852807283763,-0.0151745068285281,0.100910470409712,0.123672230652504,0.140954307873883,0.162198617433822
"Hagerstown-Martinsburg, MD-WV",288104,6,731,79,0,Exponential,0.296036596501859,NaN,1   0   4   0   3   6   1   6   6   9   8  20  14,0.0287277701778386,0.0355677154582763,0.0478796169630643,0.0533515731874145,0.0807113543091655,0.0957592339261286,0.119544310702663,0.159640434881392
Nashville,1934317,34,6773,1630,23,Decreasing,NaN,-16.2222222222222,27  112   23   67   80  106   47  136  188  203  118  144  119,0.0882917466410749,0.11206260150598,0.125498302081795,0.139524582902702,0.1508932526207,0.156651410010335,0.154961694309103,0.159587906228981
"Ann Arbor, MI",367601,7,1873,501,8,Decreasing,NaN,-7.55555555555555,7   8  22  20  58  35  48  33  39  96  37  39  24,0.123331553657234,0.140416444207154,0.187399893219434,0.195408435664709,0.205552589428724,0.187399893219434,0.178442190188052,0.158509817879813
Bakersfield,900202,15,1833,210,2,Exponential,0.261203887076666,NaN,7   1   2  14   4  14   4   9  23  27  32  31  37,0.0300054555373704,0.03873431533006,0.0529187124931806,0.0692853246044735,0.0785597381342062,0.0965630114566285,0.118850418050245,0.154409929843552
"Ogden-Clearfield, UT",683864,9,1186,210,3,Rebounding,NaN,6.33333333333333,18   3   4   8  17  22  19  18   3   0  31  27  20,0.0919055649241147,0.0792580101180438,0.0767284991568297,0.0994940978077572,0.115514333895447,0.118043844856661,0.132096683530073,0.154019111860596
"Portland-South Portland, ME",538500,13,1640,339,6,Rebounding,NaN,7.22222222222222,17  12  21   7   8  34  33  18  21   0  53  35  16,0.0914634146341463,0.0939024390243902,0.0865853658536585,0.10609756097561,0.123170731707317,0.128048780487805,0.137262872628726,0.151490514905149
"The Villages, FL",132420,2,339,73,3,Rebounding,NaN,1.33333333333333,3   2   3  11   5   4  10   3   5   1  14   2   5,0.12094395280236,0.126843657817109,0.123893805309735,0.156342182890855,0.129793510324484,0.129793510324484,0.146509341199607,0.149459193706981
Fort Myers,770577,7,2240,348,11,Exponential,0.140060781107662,NaN,4   2  10  14  20  25  23  40  42   6  63  29  44,0.0616071428571429,0.0785714285714286,0.0803571428571429,0.104017857142857,0.110714285714286,0.121428571428571,0.132027299922083,0.146566530110578
Richmond,1370148,24,4657,476,2,Exponential,0.282400182722919,NaN,14    7   11    5   13   13   18   24   50   46   54   83  117,0.0225467038866223,0.0302770023620356,0.0386514923770668,0.0478849044449216,0.0646338844749839,0.0869658578484003,0.11303897079152,0.146189802198055
Charlotte,2636883,30,5884,1055,9,Rebounding,NaN,17.3333333333333,32   60   46   58   76   66   65   69   73   48  136  109  101,0.0802175390890551,0.0871855880353501,0.0851461590754589,0.100441876274643,0.109109449354181,0.113358259687288,0.127634262406526,0.145026059370043
"Bremerton-Silverdale-Port Orchard, WA",271473,4,458,99,0,Tapering,NaN,0.111111111111111,0   0   2  13   0   9   8   6  18   0   9  12   4,0.0829694323144105,0.122270742358079,0.122270742358079,0.137554585152838,0.135371179039301,0.14410480349345,0.143134400776322,0.144590004852014
"Laredo, TX",276652,6,655,83,5,Rebounding,NaN,2.55555555555556,0   0   5   2   8   6   5   5  10   0  18   2  18,0.0473282442748092,0.0625954198473282,0.0625954198473282,0.0824427480916031,0.0824427480916031,0.0977099236641221,0.115691263782867,0.139100932994063
Orlando,2608147,35,7810,1146,15,Exponential,0.151421290247693,NaN,22    9   46   55   73   81   75   78  131   31  255  116   92,0.0562099871959027,0.0701664532650448,0.0729833546734955,0.0997439180537772,0.107554417413572,0.109987195902689,0.121834673319316,0.137814795368818
"Norwich-New London, CT",265206,2,465,57,3,Exponential,0.205390523653458,NaN,1   2   3   4   2   4   1   4   3   2   0  11  17,0.0451612903225806,0.0494623655913978,0.0494623655913978,0.043010752688172,0.0580645161290323,0.0903225806451613,0.106897333006983,0.135094795542522
"Colorado Springs, CO",745791,13,1757,385,19,Rebounding,NaN,2.22222222222222,18   3  53  19   0  23  54   0  72   0  28  26  38,0.0967558338076266,0.127490039840637,0.125782583949915,0.111553784860558,0.115537848605578,0.1371656232214,0.144058685891355,0.134572819831784
"Reno, NV",475642,14,1844,245,4,Rebounding,NaN,7.33333333333333,0  19   6   7  10   8  32   4  10  22  20  21  61,0.0466377440347072,0.052060737527115,0.0536876355748373,0.0612798264642082,0.0688720173535792,0.096529284164859,0.118582791033984,0.131597975415763
San Diego,3338330,38,7966,1112,17,Exponential,0.165324477294723,NaN,46   25   12   55   48   72   71   31   88  130  116  117  146,0.0451920662816972,0.0504644740145619,0.0636454933467236,0.0767009791614361,0.084484057243284,0.0967863419533015,0.1108261133256,0.128806807025989
"Kahului-Wailuku-Lahaina, HI",167417,4,258,38,0,Tapering,NaN,0.444444444444444,0   0   0   4   1   2   0   4   5   0   1  10   2,0.0426356589147287,0.062015503875969,0.062015503875969,0.0658914728682171,0.0891472868217054,0.0930232558139535,0.105512489233419,0.127476313522825
"Santa Maria-Santa Barbara, CA",446499,9,1054,152,1,Rebounding,NaN,2,5   0   6   2   6  15  17   4  20  11  12  28  13,0.0521821631878558,0.0664136622390892,0.0768500948766603,0.0825426944971537,0.107210626185958,0.113851992409867,0.120177103099304,0.126502213788741
"Syracuse, NY",648593,11,2138,455,6,Decreasing,NaN,-3.33333333333333,11  10  24  34  20  39  50  52  28  46  33  35  28,0.112254443405051,0.120205799812909,0.137043966323667,0.141253507951356,0.141721234798877,0.145463049579046,0.139070782662925,0.125974430932336
"Logan, UT-ID",142165,3,170,16,0,Rebounding,NaN,0.777777777777778,1  0 -3  0  0  5  0 -5  7  0  0  8  1,-0.0117647058823529,0.0235294117647059,0.0235294117647059,0.0411764705882353,0.0882352941176471,0.0941176470588235,0.0915032679738562,0.122875816993464
"Prescott Valley-Prescott, AZ",235099,5,409,43,0,Exponential,0.196223390561062,NaN,0   0   1   1   4   4  -1   3   6   3  10   1   8,0.0293398533007335,0.0440097799511002,0.0513447432762836,0.0733496332518337,0.0733496332518337,0.0831295843520782,0.0939794762692559,0.12110236480536
Virginia Beach,1749725,31,5204,591,7,Exponential,0.189710696362664,NaN,4   10   16   20   21   31   41   16   68   58   53   68  117,0.0305534204458109,0.0428516525749424,0.0520753266717909,0.059185242121445,0.0684089162182936,0.0868562644119908,0.102444085616897,0.120197582773728
"Cedar Rapids, IA",273032,5,1079,151,4,Decreasing,NaN,-1.44444444444444,2   0   3   5  11  15   6  33  22   4  10  15  21,0.0695088044485635,0.0880444856348471,0.0917516218721038,0.0982391102873031,0.107506950880445,0.116774791473587,0.114406343322006,0.119040263618577
"Cheyenne, WY",99500,2,283,42,0,Tapering,NaN,0.333333333333333,0  1  4  3  3  2  0  1  2  7  7  1  5,0.049469964664311,0.0565371024734982,0.0777385159010601,0.088339222614841,0.0812720848056537,0.088339222614841,0.0989399293286219,0.117785630153121
"Lake Charles, LA",210409,12,1068,135,3,Decreasing,NaN,-1.11111111111111,0   1   6   4   7   6   7   7  23  25  18  11  16,0.0355805243445693,0.0571161048689139,0.0795880149812734,0.0908239700374532,0.0973782771535581,0.105805243445693,0.112151477320017,0.11652101539742
"Fort Collins, CO",356899,8,725,134,7,Rebounding,NaN,2.22222222222222,2   0   9  18   0   6  17   0  15   0   8  17  10,0.0717241379310345,0.0896551724137931,0.0896551724137931,0.0882758620689655,0.0868965517241379,0.100689655172414,0.11463601532567,0.116475095785441
Sarasota,836995,12,2424,258,10,Exponential,0.189207115002721,NaN,8   6   7  11   8  10   5  17  29  11  59  29  30,0.0297029702970297,0.0383663366336634,0.0404290429042904,0.0618811881188119,0.0693069306930693,0.0783828382838284,0.0943958067948441,0.116281806556212
"Harrisonburg, VA",134964,2,508,37,0,Exponential,0.354260650413153,NaN,0  1  1  1  3  0  0  2  0  8  7  7  4,0.015748031496063,0.015748031496063,0.0295275590551181,0.0413385826771654,0.0531496062992126,0.0551181102362205,0.0809205591836352,0.115863800477413
"Boulder, CO",326196,6,777,143,2,Rebounding,NaN,2.11111111111111,2   0  10  17   0  10  14   0  17   0   7  18  11,0.0682110682110682,0.0875160875160875,0.0875160875160875,0.0836550836550837,0.0849420849420849,0.0990990990990991,0.107107107107107,0.112684112684113
Milwaukee,1575179,36,6592,1266,34,Rebounding,NaN,7.33333333333333,25   43  101   42   79  148   77   26  114   83  105  184    0,0.0820691747572816,0.0955703883495146,0.101638349514563,0.102245145631068,0.12378640776699,0.111802184466019,0.10618932038835,0.112459546925566
Albuquerque,918018,19,2368,276,9,Rebounding,NaN,7.22222222222222,6   5   6   0   9  44  12   0  45   0  22  88   0,0.0346283783783784,0.051097972972973,0.0489864864864865,0.0557432432432432,0.0929054054054054,0.0891047297297297,0.0921077327327327,0.111674174174174
Riverside,4650631,56,10105,991,28,Tapering,NaN,17.1111111111111,17   25   18   53   44   56   12  131   94   58  193   50  194,0.0352300841167739,0.0428500742206828,0.0461157842652152,0.0634339435922811,0.0631370608609599,0.0779811974270163,0.0902413546649074,0.108549123096377
"Youngstown-Warren-Boardman, OH-PA",536081,20,2815,354,19,Decreasing,NaN,-0.555555555555555,5   7  19  13  23  24  14  39  45  32  21  38  52,0.0511545293072824,0.0653641207815275,0.0742451154529307,0.074955595026643,0.0838365896980462,0.0941385435168739,0.098361949871719,0.105940398657983
"Homosassa Springs, FL",149657,2,332,34,2,Rebounding,NaN,1.22222222222222,1  0  0  2  0  3  1  2  2  0  8  1  6,0.0271084337349398,0.0301204819277108,0.0301204819277108,0.0542168674698795,0.0512048192771084,0.0692771084337349,0.0826639892904953,0.105756358768407
St. Louis,2803228,63,13179,1582,18,Tapering,NaN,4,55   50   61   88  106  103   56   53  224  215  187    9  332,0.0434023825783443,0.0562258137946733,0.0687457318461188,0.0783063965399499,0.0723120115335003,0.0894605053494195,0.0956066469383109,0.105622581379467
Tulsa,998626,36,4376,368,14,Exponential,0.249446652543885,NaN,5   2  27  29  20  11  11   7  30  48  62  37  70,0.0255941499085923,0.0313071297989031,0.041819012797075,0.0498171846435101,0.0516453382084095,0.0630712979890311,0.0815348190439099,0.105231040452365
"Columbia, SC",838433,21,3441,498,12,Decreasing,NaN,-1.11111111111111,30   8  19   0  21  28  26  63  34  47  48  39  47,0.0566695727986051,0.0578320255739611,0.0691659401336821,0.0775937227550131,0.0889276373147341,0.0964835803545481,0.100681326487778,0.105137395459976
Jacksonville,1559514,22,6039,625,17,Exponential,0.159313730802053,NaN,15    7   14   35   25   39   19   50   77   21  106   68   84,0.0337804272230502,0.044047027653585,0.0463652922669316,0.0615996025832091,0.0670640834575261,0.0768339128994867,0.0868638982863526,0.102832456369657
Honolulu,974563,17,2536,266,3,Exponential,0.176160822452646,NaN,0  17   0  10   8  32   0  15  16  18  25  55  29,0.0323343848580442,0.0386435331230284,0.0390378548895899,0.0488958990536278,0.0666403785488959,0.0749211356466877,0.0807802755411687,0.102512712362966
Memphis,1346045,32,6437,948,11,Rebounding,NaN,7,32   49   50   53   48   63  109   34   62   95  161   24   69,0.0680441199316452,0.0727046760913469,0.0798508622028895,0.0970949199937859,0.0925897157060743,0.0958521050178655,0.101392988452178,0.100875148878877
Raleigh,1390785,10,2294,329,3,Tapering,NaN,0.888888888888888,0  15  12  28  23   0  24  20  37  23  42  30  16,0.0531822144725371,0.0693112467306016,0.0727986050566696,0.0858761987794246,0.0867480383609416,0.0836965998256321,0.0972585488714521,0.10074590719752
"Santa Fe, NM",150358,3,258,52,0,Rebounding,NaN,0.222222222222222,4  2  3  0  5  7  5  0  8  0  6  0  4,0.10077519379845,0.116279069767442,0.108527131782946,0.12015503875969,0.12015503875969,0.116279069767442,0.103789836347976,0.0999138673557278
SF Bay Area,6722463,91,17503,3119,85,Decreasing,NaN,-3.11111111111111,145  154  143  233  199  106  146  319  129  231  194  231  226,0.0825572758955608,0.0816431468891047,0.0860423927326744,0.088956178940753,0.088841912814946,0.0903845055133406,0.0963707808820075,0.0998939864277235
"Kankakee, IL",109862,2,468,68,3,Decreasing,NaN,-0.111111111111111,1   1   2   0  11  10   6   0   9   9   4   3  10,0.0662393162393162,0.0833333333333333,0.10042735042735,0.104700854700855,0.111111111111111,0.108974358974359,0.0992402659069326,0.0978157644824312
"Hinesville, GA",80994,2,102,10,0,Rebounding,NaN,0.222222222222222,0  1  0  1  0  1  1  1  1  0  2  0  2,0.0490196078431373,0.0588235294117647,0.0490196078431373,0.0686274509803922,0.0588235294117647,0.0784313725490196,0.0860566448801743,0.0958605664488017
"Atlantic City-Hammonton, NJ",263670,9,1573,98,1,Exponential,0.333417330771828,NaN,1   0   6  -2   4   3   7   5   2   9  10  22  26,0.0152574698029243,0.0158931977113795,0.0216147488874762,0.0241576605212969,0.0394151303242212,0.0534011443102352,0.0722663054136295,0.0955144146498801
"Champaign-Urbana, IL",226033,5,642,56,0,Exponential,0.211444910596716,NaN,1   1   0   6   0   1  10   2   3   7  11   8   4,0.0327102803738318,0.0358255451713396,0.0451713395638629,0.0623052959501558,0.0654205607476635,0.0716510903426791,0.0885372507685609,0.0953045657305271
Albany,880381,18,2949,629,12,Rebounding,NaN,3.33333333333333,4  62  29  46  30  37  20  24  16  40  36  41  33,0.0854526958290946,0.0895218718209563,0.0820617158358766,0.0844354018311292,0.0827399118345202,0.0837572058324856,0.085904826494857,0.0949474398101051
"Sioux Falls, SD",268232,14,1535,107,0,Exponential,0.287003691724995,NaN,1   0   9   4   2   4   6   3   4  15  21  17  15,0.0188925081433225,0.0208469055374593,0.0306188925081433,0.0384364820846906,0.0469055374592834,0.0553745928338762,0.0727748501723612,0.0946140063641517
"Owensboro, KY",119440,2,527,57,1,Rebounding,NaN,1.55555555555556,10   0   3   0   0  21  -6   0   7   0   0   0  21,0.0531309297912713,0.047438330170778,0.047438330170778,0.0417457305502846,0.0417457305502846,0.0815939278937381,0.0609318996415771,0.0944549862955935
Los Angeles,13214799,172,39123,5391,107,Decreasing,NaN,-66.3333333333334,159  153  185  486  301   82  392  678  583  603  577  576  114,0.0622651637144391,0.0731027784167881,0.084604963832017,0.094624645349283,0.0969250824323288,0.0921452853820004,0.0974533309476949,0.0931421414513202
"Wenatchee, WA",120629,4,251,33,3,Exponential,0.11962776897325,NaN,4  0  5  3  2  1  0  1  2  1  2  2  7,0.0637450199203187,0.0557768924302789,0.0597609561752988,0.047808764940239,0.0438247011952191,0.0637450199203187,0.075488909865009,0.0930983635651338
"Sebring-Avon Park, FL",106221,3,323,30,2,Exponential,0.15257204907552,NaN,1  2  0  1  0  5  0  3  4  0  7  2  4,0.0371517027863777,0.0464396284829721,0.0402476780185759,0.0619195046439628,0.065015479876161,0.0773993808049536,0.0760902831958687,0.0924231264684343
"Port St. Lucie, FL",489297,11,1544,129,3,Rebounding,NaN,4.44444444444444,4   1   2   6  12  16   3   7  10   3  13  20  27,0.0330310880829016,0.0369170984455959,0.0382124352331606,0.0453367875647668,0.0544041450777202,0.064119170984456,0.0724668969487622,0.0921128382268279
"South Bend-Mishawaka, IN-MI",323613,8,913,95,2,Tapering,NaN,0.555555555555555,9   1   1   3   6   5   3   4  13  10   8   7  17,0.0350492880613363,0.0394304490690033,0.0492880613362541,0.0569550930996714,0.0613362541073384,0.0733844468784228,0.0808080808080808,0.0910307898259705
Columbus,2122271,38,7738,760,10,Exponential,0.153018522933828,NaN,11  39  21  29  55  89  31  49  63  82  66  86  96,0.0418712845696562,0.0485913672783665,0.0541483587490308,0.0599638149392608,0.0673300594468855,0.072628586197984,0.0761558642323222,0.089478328096881
"Olympia-Lacey-Tumwater, WA",290536,2,474,64,1,Tapering,NaN,0.111111111111111,0   0   3  10   0   3   6   3  12   0   3   7   6,0.0527426160337553,0.0780590717299578,0.0780590717299578,0.0780590717299578,0.0717299578059072,0.0843881856540084,0.0897796530707923,0.0890764181903422
"Lawton, OK",126415,5,615,41,0,Exponential,0.265219767217622,NaN,0  0  0  3  3  0  5  2  3  6  6  9  4,0.0211382113821138,0.0260162601626016,0.0357723577235772,0.0455284552845528,0.0552845528455285,0.0569105691056911,0.0745918869201991,0.0888325584287589
Lakeland,724777,6,1793,142,4,Exponential,0.180976813534141,NaN,2   0   1   3   9   8   5  16  18   3  27  23  16,0.0245398773006135,0.0334634690462911,0.0351366424986057,0.0496374790853318,0.0607919687674289,0.0646960401561629,0.0745670426781082,0.0887051228348833
"Bay City, MI",103126,3,389,24,0,Exponential,0.277886208492545,NaN,1  0  1  1  0  0  1  4  0  1  6  2  6,0.0205655526992288,0.0179948586118252,0.0205655526992288,0.0334190231362468,0.0359897172236504,0.051413881748072,0.0685585321434989,0.0878967503458376
"Athens-Clarke County, GA",213750,3,574,90,10,Decreasing,NaN,-0.555555555555556,8   4   3   8  12   3   1   6  14   3   5   5   8,0.078397212543554,0.0888501742160279,0.0871080139372822,0.0905923344947735,0.0853658536585366,0.078397212543554,0.0816879597367402,0.0874951606658924
Sacramento,2363730,28,5380,546,13,Exponential,0.142906403762492,NaN,37   10   38    1   59   17   12   60   15   25  105   89    7,0.0434944237918216,0.0394052044609665,0.0421933085501859,0.0546468401486989,0.071003717472119,0.0613382899628253,0.0726815792666024,0.0870268282672262
Houston,7066141,137,20597,1989,23,Exponential,0.149802186731814,NaN,20   89   63   98   48  264  123   65  225  200  178  221  252,0.0373840850609312,0.0473369908239064,0.0527261251638588,0.0583094625430888,0.0642812060008739,0.0741855610040297,0.0758341772787094,0.086495491647899
