MSA_Short_Name,Population,Hospitals,Beds,Confirmed,Deaths,New_Cases_Per_Bed,New_Cases_Per_Day_As_Text
"Kennewick-Richland, WA",299612,5,553,197,14,0.229656419529837,4   0   5   7  28   0  18  67 -17  19  30  10  16
Seattle,3979845,52,9478,5021,253,0.220405148765562,188  107  226  393  179  501  167  158  390   75  519  204  287
"Burlington-South Burlington, VT",220411,2,632,268,4,0.216772151898734,10   8  16  21  17  16  14   0  39  14  14  27  48
"Monroe, MI",150500,1,217,101,0,0.211981566820276,1   5   6   3   7   6   4   7   4   9  21  16   6
Worcester,947404,17,2467,946,18,0.205512768544791,6   31   56   38   53   72   50   56   44  138  106  164   94
"Houma-Thibodaux, LA",208075,8,647,360,8,0.200927357032458,7   1   3  16   4   7   5  20  29  46  95  32  73
"Hilton Head Island-Bluffton, SC",222195,4,408,157,3,0.198529411764706,7   2   4   0  10   4  11  24  17  11  32   2  18
Denver,2967239,42,6088,2197,50,0.194973718791064,55    8  125  178    0  149  305    0  430    0  198  216  253
Chicago,9458539,127,28234,10159,235,0.189806616136573,170   317   319    21  1135   458  1070   438   953   965   698   828  1763
"Ann Arbor, MI",367601,7,1873,501,8,0.187399893219434,7   8  22  20  58  35  48  33  39  96  37  39  24
"Flint, MI",405813,4,1169,464,15,0.183917878528657,9   11   12   17   28   19   17   23   35   64  100   73   42
"California-Lexington Park, MD",113510,1,95,34,0,0.178947368421053,0  1  0  2  0  4  1  0  6  4  8  3  4
"Auburn-Opelika, AL",164542,1,314,102,3,0.17515923566879,3   7  14   7   1   8   3  12   4   6  10   8   3
"Sumter, SC",140466,3,372,124,4,0.169354838709677,4   5   2   0   1  15  15   6  12  12  21  12  15
"Lawrence, KS",122259,1,152,32,0,0.164473684210526,4 -2  4  3  1  9  0  0  1  7  0  0  1
"Albany-Lebanon, OR",129749,2,98,37,2,0.163265306122449,1  1  4  1  2  4  4  0  1  0  0  0  0
"New Haven-Milford, CT",854757,10,3199,1024,29,0.163175992497656,12   48   38   29   66   14   44   93  144   94   36  244  133
DC,6280487,60,11562,3432,54,0.155768898114513,60   68  140  154  227  214  217  219  298  332  302  408  453
"Farmington, NM",123958,3,267,72,0,0.149812734082397,3   4   1   0   6   4   4   0  10  15   5  20   0
Miami,6166488,86,22039,6609,97,0.147511230092109,114   120   123   416   282   538   254   844   686   108  1103   716   789
Philadelphia,6102434,116,23316,6996,98,0.144921942014068,174   215   227   382   387   356   398   408   488   733   809   829  1188
Atlanta,6020364,80,13225,3584,107,0.140037807183365,109  128   77  154  301  273  160  163  514  210  284  484  313
"Scranton--Wilkes-Barre, PA",553885,15,2399,799,11,0.137974155898291,4   19    9   19   26   26   34   62   78   77  126  112  194
"Syracuse, NY",648593,11,2138,455,6,0.137043966323667,11  10  24  34  20  39  50  52  28  46  33  35  28
"Lafayette, LA",489207,30,2126,441,15,0.135936030103481,5    4    8   14   29   14    3   49   99   73  143   64  -72
Buffalo,1127983,21,3719,909,22,0.135520301156225,31   28   10   86   48   83  101   32   56   88   80  120   81
Hartford,1204877,16,3677,917,40,0.130813162904542,11   30   43   31   58   46   61   76   75   91   84  169   68
"Lansing-East Lansing, MI",550391,10,1300,297,4,0.13,1   7   4   7  10  11  15  45  29  48  33  41  31
"Jackson, MI",158510,2,389,81,3,0.12853470437018,0   5   6   5  -1   4   4  13  10   9  11   2  12
"Colorado Springs, CO",745791,13,1757,385,19,0.125782583949915,18   3  53  19   0  23  54   0  72   0  28  26  38
Nashville,1934317,34,6773,1630,23,0.125498302081795,27  112   23   67   80  106   47  136  188  203  118  144  119
"Trenton-Princeton, NJ",367430,12,2212,586,13,0.124321880650995,10    8   24   29   20   37   34   47   19   65   53   98  102
"The Villages, FL",132420,2,339,73,3,0.123893805309735,3   2   3  11   5   4  10   3   5   1  14   2   5
"Lancaster, PA",545724,5,1191,291,5,0.123425692695214,-1   5   2   9  12  12  22  30  26  34  46  29  59
