msa,pop,MSA_FIPS,msa_short_name
"Bellingham, WA",229247,13380,
"Champaign-Urbana, IL",226033,16580,
"Daphne-Fairhope-Foley, AL",223234,19300,
"Hilton Head Island-Bluffton, SC",222195,25940,
"Rochester, MN",221921,40340,
"Medford, OR",220944,32780,
"Burlington-South Burlington, VT",220411,15540,
"Chico, CA",219186,17020,
"Charlottesville, VA",218615,16820,
"Las Cruces, NM",218195,29740,
"Yuma, AZ",213787,49740,
"Athens-Clarke County, GA",213750,12020,
"Barnstable Town, MA",212990,12700,
"Lake Havasu City-Kingman, AZ",212181,29420,
"Lake Charles, LA",210409,29340,
"Columbia, MO",208173,17860,
"Houma-Thibodaux, LA",208075,26380,
"Springfield, IL",206868,44100,
"Elkhart-Goshen, IN",206341,21140,
"Florence, SC",204911,22500,
"Gainesville, GA",204441,23580,
"Johnson City, TN",203649,27740,
"St. Cloud, MN",201964,41060,
"Monroe, LA",200261,33740,
"Jacksonville, NC",197938,27340,
"Bend, OR",197692,13460,
"Racine, WI",196311,39540,
"Saginaw, MI",190539,40980,
"Punta Gorda, FL",188910,39460,
"Terre Haute, IN",186367,45460,
"Warner Robins, GA",185409,47580,
"Midland, TX",182603,33260,
"Billings, MT",181667,13740,
"El Centro, CA",181215,20940,
"Dover, DE",180786,20100,
"Greenville, NC",180742,24780,
"Redding, CA",180080,39820,
"Joplin, MO",179564,27900,
"Bowling Green, KY",179240,14540,
"Jackson, TN",178644,27180,
"Kingston, NY",177573,28740,
"St. George, UT",177556,41100,
"Yuba City, CA",175639,49700,
"Panama City, FL",174705,37460,
"Muskegon, MI",173566,34740,
"Iowa City, IA",173105,26980,
"Abilene, TX",172060,10180,
"Oshkosh-Neenah, WI",171907,36780,
"Bloomington, IL",171517,14010,
"East Stroudsburg, PA",170271,20700,
"Burlington, NC",169509,15500,
"Eau Claire, WI",169304,20740,
"Bloomington, IN",169230,14020,
"Hattiesburg, MS",168849,25620,
"Waterloo-Cedar Falls, IA",168522,47940,
"Pueblo, CO",168424,39380,
"Blacksburg-Christiansburg, VA",167531,13980,
"Kahului-Wailuku-Lahaina, HI",167417,27980,
"Odessa, TX",166223,36220,
"Coeur d'Alene, ID",165697,17660,
"Auburn-Opelika, AL",164542,12220,
"Janesville-Beloit, WI",163354,27500,
"Wausau-Weston, WI",163285,48140,
"State College, PA",162385,44300,
"Sebastian-Vero Beach, FL",159923,42680,
"Jackson, MI",158510,27100,
"Madera, CA",157327,31460,
"Chambersburg-Waynesboro, PA",155027,16540,
"Grand Junction, CO",154210,24300,
"Elizabethtown-Fort Knox, KY",153928,21060,
"Niles, MI",153401,35660,
"Hanford-Corcoran, CA",152940,25260,
"Decatur, AL",152603,19460,
"Bangor, ME",152148,12620,
"Alexandria, LA",152037,10780,
"Idaho Falls, ID",151530,26820,
"Wichita Falls, TX",151254,48660,
"Jefferson City, MO",151235,27620,
"Monroe, MI",150500,33780,
"Santa Fe, NM",150358,42140,
"Homosassa Springs, FL",149657,26140,
"Vineland-Bridgeton, NJ",149527,47220,
"Dothan, AL",149358,20020,
"Texarkana, TX-AR",148761,45500,
"Florence-Muscle Shoals, AL",147970,22520,
"Valdosta, GA",147292,46660,
"Albany, GA",146726,10500,
"Rocky Mount, NC",145770,40580,
"Dalton, GA",144724,19140,
"Sioux City, IA-NE-SD",144701,43580,
"Flagstaff, AZ",143476,22380,
"Morristown, TN",142749,34100,
"Logan, UT-ID",142165,30860,
"Rapid City, SD",142107,39660,
"Lebanon, PA",141793,30140,
"Winchester, VA-WV",140566,49020,
"Sumter, SC",140466,44940,
"Morgantown, WV",139044,34060,
"Wheeling, WV-OH",138948,48540,
"Napa, CA",137744,34900,
"La Crosse-Onalaska, WI-MN",136616,29100,
"Sherman-Denison, TX",136212,43300,
"Carbondale-Marion, IL",135764,16060,
"Harrisonburg, VA",134964,25500,
"Hammond, LA",134758,25220,
"Battle Creek, MI",134159,12980,
"Springfield, OH",134083,44220,
"Jonesboro, AR",133860,27860,
"The Villages, FL",132420,45540,
"Manhattan, KS",130285,31740,
"Johnstown, PA",130192,27780,
"Albany-Lebanon, OR",129749,10540,
"Mount Vernon-Anacortes, WA",129205,34580,
"Bismarck, ND",128949,13900,
"Lawton, OK",126415,30020,
"Sierra Vista-Douglas, AZ",125922,43420,
