MSA_FIPS,MSA,MSA_Short_Name,County_FIPS,County,Population,Hospitals,Beds
12940,"Baton Rouge, LA","Baton Rouge, LA",22033,"East Baton Rouge, LA",440059,23,3349
12940,"Baton Rouge, LA","Baton Rouge, LA",22037,"East Feliciana, LA",19135,4,583
10780,"Alexandria, LA","Alexandria, LA",22043,"Grant, LA",22389,0,0
29180,"Lafayette, LA","Lafayette, LA",22045,"Iberia, LA",69830,3,211
12940,"Baton Rouge, LA","Baton Rouge, LA",22047,"Iberville, LA",32511,1,77
35380,"New Orleans-Metairie, LA",New Orleans,22051,"Jefferson, LA",432493,17,2244
29180,"Lafayette, LA","Lafayette, LA",22055,"Lafayette, LA",244390,17,1428
26380,"Houma-Thibodaux, LA","Houma-Thibodaux, LA",22057,"Lafourche, LA",97614,3,203
12940,"Baton Rouge, LA","Baton Rouge, LA",22063,"Livingston, LA",140789,1,59
33740,"Monroe, LA","Monroe, LA",22067,"Morehouse, LA",24874,3,159
35380,"New Orleans-Metairie, LA",New Orleans,22071,"Orleans, LA",390144,15,2056
33740,"Monroe, LA","Monroe, LA",22073,"Ouachita, LA",153279,11,1064
35380,"New Orleans-Metairie, LA",New Orleans,22075,"Plaquemines, LA",23197,0,0
12940,"Baton Rouge, LA","Baton Rouge, LA",22077,"Pointe Coupee, LA",21730,1,25
10780,"Alexandria, LA","Alexandria, LA",22079,"Rapides, LA",129648,13,1428
35380,"New Orleans-Metairie, LA",New Orleans,22087,"St. Bernard, LA",47244,2,154
35380,"New Orleans-Metairie, LA",New Orleans,22089,"St. Charles, LA",53100,1,59
12940,"Baton Rouge, LA","Baton Rouge, LA",22091,"St. Helena, LA",10132,1,25
35380,"New Orleans-Metairie, LA",New Orleans,22093,"St. James, LA",21096,2,97
35380,"New Orleans-Metairie, LA",New Orleans,22095,"St. John the Baptist, LA",42837,1,62
29180,"Lafayette, LA","Lafayette, LA",22099,"St. Martin, LA",53431,2,102
35380,"New Orleans-Metairie, LA",New Orleans,22103,"St. Tammany, LA",260419,15,1254
25220,"Hammond, LA","Hammond, LA",22105,"Tangipahoa, LA",134758,10,501
26380,"Houma-Thibodaux, LA","Houma-Thibodaux, LA",22109,"Terrebonne, LA",110461,5,444
33740,"Monroe, LA","Monroe, LA",22111,"Union, LA",22108,3,54
29180,"Lafayette, LA","Lafayette, LA",22113,"Vermilion, LA",59511,2,95
12940,"Baton Rouge, LA","Baton Rouge, LA",22121,"West Baton Rouge, LA",26465,0,0
12940,"Baton Rouge, LA","Baton Rouge, LA",22125,"West Feliciana, LA",15568,1,22
30340,"Lewiston-Auburn, ME","Lewiston-Auburn, ME",23001,"Androscoggin, ME",108277,2,483
38860,"Portland-South Portland, ME","Portland-South Portland, ME",23005,"Cumberland, ME",295003,8,1269
12620,"Bangor, ME","Bangor, ME",23019,"Penobscot, ME",152148,6,773
38860,"Portland-South Portland, ME","Portland-South Portland, ME",23023,"Sagadahoc, ME",35856,0,0
38860,"Portland-South Portland, ME","Portland-South Portland, ME",23031,"York, ME",207641,5,371
19060,"Cumberland, MD-WV","Cumberland, MD-WV",24001,"Allegany, MD",70416,2,451
12580,"Baltimore-Columbia-Towson, MD",Baltimore,24003,"Anne Arundel, MD",579234,2,673
12580,"Baltimore-Columbia-Towson, MD",Baltimore,24005,"Baltimore, MD",827370,7,1976
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",DC,24009,"Calvert, MD",92525,1,76
12580,"Baltimore-Columbia-Towson, MD",Baltimore,24013,"Carroll, MD",168447,2,409
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia,24015,"Cecil, MD",102855,2,199
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",DC,24017,"Charles, MD",163257,1,89
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",DC,24021,"Frederick, MD",259547,1,308
12580,"Baltimore-Columbia-Towson, MD",Baltimore,24025,"Harford, MD",255441,2,255
12580,"Baltimore-Columbia-Towson, MD",Baltimore,24027,"Howard, MD",325690,3,581
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",DC,24031,"Montgomery, MD",1050688,9,1569
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",DC,24033,"Prince George's, MD",909327,7,866
12580,"Baltimore-Columbia-Towson, MD",Baltimore,24035,"Queen Anne's, MD",50381,0,0
15680,"California-Lexington Park, MD","California-Lexington Park, MD",24037,"St. Mary's, MD",113510,1,95
41540,"Salisbury, MD-DE","Salisbury, MD-DE",24039,"Somerset, MD",25616,1,89
25180,"Hagerstown-Martinsburg, MD-WV","Hagerstown-Martinsburg, MD-WV",24043,"Washington, MD",151049,3,372
41540,"Salisbury, MD-DE","Salisbury, MD-DE",24045,"Wicomico, MD",103609,3,416
41540,"Salisbury, MD-DE","Salisbury, MD-DE",24047,"Worcester, MD",52276,1,45
12580,"Baltimore-Columbia-Towson, MD",Baltimore,24510,"Baltimore (Independent City), MD",593490,18,4851
12700,"Barnstable Town, MA","Barnstable Town, MA",25001,"Barnstable, MA",212990,4,484
38340,"Pittsfield, MA","Pittsfield, MA",25003,"Berkshire, MA",124944,4,436
39300,"Providence-Warwick, RI-MA",Providence,25005,"Bristol, MA",565217,10,1553
14460,"Boston-Cambridge-Newton, MA-NH",Boston,25009,"Essex, MA",789034,16,1597
44140,"Springfield, MA","Springfield, MA",25011,"Franklin, MA",70180,1,89
44140,"Springfield, MA","Springfield, MA",25013,"Hampden, MA",466372,10,1773
44140,"Springfield, MA","Springfield, MA",25015,"Hampshire, MA",160830,4,319
14460,"Boston-Cambridge-Newton, MA-NH",Boston,25017,"Middlesex, MA",1611699,24,4227
14460,"Boston-Cambridge-Newton, MA-NH",Boston,25021,"Norfolk, MA",706775,14,1940
14460,"Boston-Cambridge-Newton, MA-NH",Boston,25023,"Plymouth, MA",521202,8,949
14460,"Boston-Cambridge-Newton, MA-NH",Boston,25025,"Suffolk, MA",803907,24,6316
49340,"Worcester, MA-CT",Worcester,25027,"Worcester, MA",830622,15,2233
13020,"Bay City, MI","Bay City, MI",26017,"Bay, MI",103126,3,389
35660,"Niles, MI","Niles, MI",26021,"Berrien, MI",153401,4,512
12980,"Battle Creek, MI","Battle Creek, MI",26025,"Calhoun, MI",134159,5,394
43780,"South Bend-Mishawaka, IN-MI","South Bend-Mishawaka, IN-MI",26027,"Cass, MI",51787,1,25
29620,"Lansing-East Lansing, MI","Lansing-East Lansing, MI",26037,"Clinton, MI",79595,1,25
29620,"Lansing-East Lansing, MI","Lansing-East Lansing, MI",26045,"Eaton, MI",110268,2,45
22420,"Flint, MI","Flint, MI",26049,"Genesee, MI",405813,4,1169
29620,"Lansing-East Lansing, MI","Lansing-East Lansing, MI",26065,"Ingham, MI",292406,6,1123
24340,"Grand Rapids-Kentwood, MI",Grand Rapids,26067,"Ionia, MI",64697,2,47
27100,"Jackson, MI","Jackson, MI",26075,"Jackson, MI",158510,2,389
28020,"Kalamazoo-Portage, MI","Kalamazoo-Portage, MI",26077,"Kalamazoo, MI",265066,2,821
24340,"Grand Rapids-Kentwood, MI",Grand Rapids,26081,"Kent, MI",656955,8,1860
19820,"Detroit-Warren-Dearborn, MI",Detroit,26087,"Lapeer, MI",87607,1,183
19820,"Detroit-Warren-Dearborn, MI",Detroit,26093,"Livingston, MI",191995,2,177
19820,"Detroit-Warren-Dearborn, MI",Detroit,26099,"Macomb, MI",873972,7,1399
33220,"Midland, MI","Midland, MI",26111,"Midland, MI",83156,1,308
33780,"Monroe, MI","Monroe, MI",26115,"Monroe, MI",150500,1,217
24340,"Grand Rapids-Kentwood, MI",Grand Rapids,26117,"Montcalm, MI",63888,4,148
34740,"Muskegon, MI","Muskegon, MI",26121,"Muskegon, MI",173566,3,413
19820,"Detroit-Warren-Dearborn, MI",Detroit,26125,"Oakland, MI",1257584,17,4435
24340,"Grand Rapids-Kentwood, MI",Grand Rapids,26139,"Ottawa, MI",291830,3,311
40980,"Saginaw, MI","Saginaw, MI",26145,"Saginaw, MI",190539,8,1122
19820,"Detroit-Warren-Dearborn, MI",Detroit,26147,"St. Clair, MI",159128,3,398
29620,"Lansing-East Lansing, MI","Lansing-East Lansing, MI",26155,"Shiawassee, MI",68122,1,107
